,timestamp,GT_depth,CAL_height,person_id,GT_height,unreg_img_left,unreg_img_right,reg_img_left,reg_img_right,error,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
179,2023-07-25 19:11:23.778146,134.44842171693298,137.49668648290324,8,148.0,unregistered/uil__2023-07-25__19:11:23.778146.png,unregistered/uir__2023-07-25__19:11:23.778146.png,registered/ril__2023-07-25__19:11:23.778146.png,registered/rir__2023-07-25__19:11:23.778146.png,10.503313517096757,0.40770471 0.88430923,0.50754505 0.88399184,0.45873848 0.97798225,0.46122891 0.94969672,0.56897897 0.85124463,0.66653669 0.84962434,0.62278035 0.94314331,0.62754869 0.91501886
209,2023-07-25 19:12:22.159096,179.5780866333329,137.37232507482028,8,148.0,unregistered/uil__2023-07-25__19:12:22.159096.png,unregistered/uir__2023-07-25__19:12:22.159096.png,registered/ril__2023-07-25__19:12:22.159096.png,registered/rir__2023-07-25__19:12:22.159096.png,10.627674925179718,0.62894404 0.79646224,0.70619702 0.79346311,0.67090702 0.86687064,0.67081589 0.84001136,0.74977815 0.76348287,0.8252421 0.75983506,0.79389638 0.83342466,0.79541242 0.8070094
198,2023-07-25 19:12:06.886004,223.76461848519256,137.176801877472,8,148.0,unregistered/uil__2023-07-25__19:12:06.886004.png,unregistered/uir__2023-07-25__19:12:06.886004.png,registered/ril__2023-07-25__19:12:06.886004.png,registered/rir__2023-07-25__19:12:06.886004.png,10.823198122527998,0.57755643 0.74629337,0.64157563 0.73973912,0.61449885 0.80433798,0.6143164 0.78346145,0.67471147 0.71381891,0.73689318 0.70818645,0.71296716 0.7730726,0.71461672 0.75028431
207,2023-07-25 19:12:17.443364,176.90753067430512,137.16337251030578,8,148.0,unregistered/uil__2023-07-25__19:12:17.443364.png,unregistered/uir__2023-07-25__19:12:17.443364.png,registered/ril__2023-07-25__19:12:17.443364.png,registered/rir__2023-07-25__19:12:17.443364.png,10.836627489694223,0.63823074 0.8024841,0.71506077 0.79933566,0.67984074 0.87740484,0.67999035 0.85339051,0.75987756 0.76970482,0.83745199 0.76580447,0.80475309 0.84352398,0.80657244 0.81790411
193,2023-07-25 19:12:00.951341,222.19325065384297,137.11974147552846,8,148.0,unregistered/uil__2023-07-25__19:12:00.951341.png,unregistered/uir__2023-07-25__19:12:00.951341.png,registered/ril__2023-07-25__19:12:00.951341.png,registered/rir__2023-07-25__19:12:00.951341.png,10.880258524471543,0.45363343 0.75003052,0.51804817 0.73990041,0.49094015 0.80268767,0.49214059 0.78293669,0.55116451 0.71852553,0.61487478 0.70827848,0.59015897 0.77064064,0.59259838 0.75100356
206,2023-07-25 19:12:16.275419,175.3861696696667,136.9190459319878,8,148.0,unregistered/uil__2023-07-25__19:12:16.275419.png,unregistered/uir__2023-07-25__19:12:16.275419.png,registered/ril__2023-07-25__19:12:16.275419.png,registered/rir__2023-07-25__19:12:16.275419.png,11.080954068012204,0.63425076 0.80705589,0.71213025 0.8039642,0.67738545 0.88171431,0.67822868 0.85768795,0.7575599 0.77452588,0.83496964 0.77046788,0.80268687 0.84814095,0.8059665 0.82269764
208,2023-07-25 19:12:18.630305,174.2677111948312,136.75710225098797,8,148.0,unregistered/uil__2023-07-25__19:12:18.630305.png,unregistered/uir__2023-07-25__19:12:18.630305.png,registered/ril__2023-07-25__19:12:18.630305.png,registered/rir__2023-07-25__19:12:18.630305.png,11.24289774901203,0.22974324 0.80736101,0.31100535 0.81020409,0.26693268 0.88570821,0.26787677 0.86051583,0.3548035 0.77551198,0.43419117 0.77867496,0.39298755 0.85322502,0.39520046 0.82909018
210,2023-07-25 19:12:24.491874,178.0891885587324,136.66870352601393,8,148.0,unregistered/uil__2023-07-25__19:12:24.491874.png,unregistered/uir__2023-07-25__19:12:24.491874.png,registered/ril__2023-07-25__19:12:24.491874.png,registered/rir__2023-07-25__19:12:24.491874.png,11.331296473986072,0.66694564 0.80401707,0.74334496 0.80293655,0.70914817 0.8788594,0.71236801 0.85378402,0.78918439 0.77046514,0.86523306 0.76841807,0.83248475 0.84448126,0.83669585 0.82060415
201,2023-07-25 19:12:10.412563,231.06226471121872,136.64465286851168,8,148.0,unregistered/uil__2023-07-25__19:12:10.412563.png,unregistered/uir__2023-07-25__19:12:10.412563.png,registered/ril__2023-07-25__19:12:10.412563.png,registered/rir__2023-07-25__19:12:10.412563.png,11.355347131488315,0.18425323 0.73807633,0.25146574 0.74147195,0.21575156 0.7998631,0.21777169 0.77901679,0.27851549 0.70863539,0.34270713 0.71135122,0.31098348 0.769144,0.31440553 0.74783367
194,2023-07-25 19:12:02.123455,222.40165146848952,136.58975831053363,8,148.0,unregistered/uil__2023-07-25__19:12:02.123455.png,unregistered/uir__2023-07-25__19:12:02.123455.png,registered/ril__2023-07-25__19:12:02.123455.png,registered/rir__2023-07-25__19:12:02.123455.png,11.410241689466375,0.34371692 0.74840468,0.41101632 0.74866068,0.38005175 0.81237772,0.37937754 0.79096723,0.44153112 0.71780211,0.50772452 0.71786731,0.47749723 0.78047308,0.47973245 0.75788224
