,timestamp,GT_depth,CAL_height,person_id,GT_height,unreg_img_left,unreg_img_right,reg_img_left,reg_img_right,error,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
277,2023-07-26 21:32:51.551786,262.3391356491044,169.76991409452785,7,170.0,unregistered/uil__2023-07-26__21:32:51.551786.png,unregistered/uir__2023-07-26__21:32:51.551786.png,registered/ril__2023-07-26__21:32:51.551786.png,registered/rir__2023-07-26__21:32:51.551786.png,0.23008590547215135,0.42370436 0.5190866,0.48648891 0.50933576,0.46087624 0.58351701,0.45882088 0.56176293,0.50657642 0.48453361,0.56892371 0.47459915,0.5439353 0.54987431,0.54369712 0.52783334
278,2023-07-26 21:32:52.602276,259.55577531954486,170.33733044305671,7,170.0,unregistered/uil__2023-07-26__21:32:52.602276.png,unregistered/uir__2023-07-26__21:32:52.602276.png,registered/ril__2023-07-26__21:32:52.602276.png,registered/rir__2023-07-26__21:32:52.602276.png,0.33733044305671456,0.50382692 0.51130861,0.56686044 0.50996131,0.53540352 0.58104914,0.53542954 0.55874711,0.58727169 0.47853419,0.65098917 0.4757995,0.61956209 0.54852638,0.62138617 0.52406514
279,2023-07-26 21:32:57.616977,192.0840260862068,168.5839263714684,7,170.0,unregistered/uil__2023-07-26__21:32:57.616977.png,unregistered/uir__2023-07-26__21:32:57.616977.png,registered/ril__2023-07-26__21:32:57.616977.png,registered/rir__2023-07-26__21:32:57.616977.png,1.416073628531592,0.15358107 0.52469593,0.23884672 0.51546544,0.2000251 0.60939771,0.19791815 0.57972687,0.26726156 0.49173963,0.35024869 0.48227873,0.31459861 0.57733598,0.31463557 0.54847389
280,2023-07-26 21:32:59.625212,174.14834324687993,168.49533531979932,7,170.0,unregistered/uil__2023-07-26__21:32:59.625212.png,unregistered/uir__2023-07-26__21:32:59.625212.png,registered/ril__2023-07-26__21:32:59.625212.png,registered/rir__2023-07-26__21:32:59.625212.png,1.5046646802006762,0.37536973 0.52804661,0.46521643 0.51273429,0.42813697 0.61694831,0.42405728 0.58587265,0.49934155 0.49494955,0.58783412 0.47868112,0.55470467 0.58380178,0.55338633 0.55194122
274,2023-07-26 21:32:45.574404,94.9698778123996,168.3986597710942,7,170.0,unregistered/uil__2023-07-26__21:32:45.574404.png,unregistered/uir__2023-07-26__21:32:45.574404.png,registered/ril__2023-07-26__21:32:45.574404.png,registered/rir__2023-07-26__21:32:45.574404.png,1.6013402289057979,0.32052839 0.52261817,0.46992159 0.5138765,0.39637002 0.67971668,0.39671642 0.62822181,0.54889035 0.48937032,0.69501221 0.47719151,0.6299898 0.64437196,0.63451338 0.59275979
275,2023-07-26 21:32:46.566530,96.87826867527384,167.77511360232447,7,170.0,unregistered/uil__2023-07-26__21:32:46.566530.png,unregistered/uir__2023-07-26__21:32:46.566530.png,registered/ril__2023-07-26__21:32:46.566530.png,registered/rir__2023-07-26__21:32:46.566530.png,2.224886397675533,0.36805272 0.53269511,0.51495826 0.52444524,0.44417813 0.68724376,0.44444677 0.63640302,0.59229201 0.49988079,0.73337013 0.48668614,0.6727646 0.65124553,0.67843568 0.60118198
270,2023-07-26 21:32:40.503771,93.11669385147574,167.58439384280226,7,170.0,unregistered/uil__2023-07-26__21:32:40.503771.png,unregistered/uir__2023-07-26__21:32:40.503771.png,registered/ril__2023-07-26__21:32:40.503771.png,registered/rir__2023-07-26__21:32:40.503771.png,2.415606157197743,0.33048981 0.5374459,0.48340619 0.52647793,0.40859073 0.69958952,0.40835911 0.64617527,0.56449467 0.5036484,0.71240413 0.49078771,0.64484811 0.66362,0.65032929 0.60882854
271,2023-07-26 21:32:41.519443,93.86853744957256,167.55185970708294,7,170.0,unregistered/uil__2023-07-26__21:32:41.519443.png,unregistered/uir__2023-07-26__21:32:41.519443.png,registered/ril__2023-07-26__21:32:41.519443.png,registered/rir__2023-07-26__21:32:41.519443.png,2.44814029291706,0.32344916 0.53883922,0.47641143 0.52606905,0.40081294 0.70039928,0.40009689 0.64509261,0.55474943 0.50588667,0.70279825 0.49080834,0.63633668 0.66506869,0.64052576 0.60981411
282,2023-07-26 21:33:11.080957,92.67335102247236,167.54843836815868,7,170.0,unregistered/uil__2023-07-26__21:33:11.080957.png,unregistered/uir__2023-07-26__21:33:11.080957.png,registered/ril__2023-07-26__21:33:11.080957.png,registered/rir__2023-07-26__21:33:11.080957.png,2.451561631841315,0.35089719 0.53722054,0.50173509 0.52799964,0.42820144 0.69599605,0.42593586 0.64170349,0.58549076 0.50340617,0.73252946 0.48991781,0.66620103 0.65935048,0.66895586 0.60814691
281,2023-07-26 21:33:03.182840,129.68622844604502,167.50824897657728,7,170.0,unregistered/uil__2023-07-26__21:33:03.182840.png,unregistered/uir__2023-07-26__21:33:03.182840.png,registered/ril__2023-07-26__21:33:03.182840.png,registered/rir__2023-07-26__21:33:03.182840.png,2.4917510234227223,0.18735012 0.53127837,0.30242038 0.53051907,0.23897394 0.65643951,0.23709926 0.61644185,0.35489452 0.49726325,0.46929431 0.49741876,0.40935731 0.62324551,0.41029048 0.58319235
