,timestamp,GT_depth,CAL_height,person_id,GT_height,unreg_img_left,unreg_img_right,reg_img_left,reg_img_right,error,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
316,2023-07-25 17:55:34.910758,133.91852678799518,170.15427607019245,5,170.0,unregistered/uil__2023-07-25__17:55:34.910758.png,unregistered/uir__2023-07-25__17:55:34.910758.png,registered/ril__2023-07-25__17:55:34.910758.png,registered/rir__2023-07-25__17:55:34.910758.png,0.15427607019245215,0.41509545 0.50706279,0.52063316 0.49178076,0.47203226 0.6057716,0.46688962 0.57512474,0.57670844 0.47209108,0.68331116 0.45644352,0.63839346 0.57158709,0.63244057 0.54072082
329,2023-07-25 17:56:00.079856,159.462426745491,169.77771315513243,5,170.0,unregistered/uil__2023-07-25__17:56:00.079856.png,unregistered/uir__2023-07-25__17:56:00.079856.png,registered/ril__2023-07-25__17:56:00.079856.png,registered/rir__2023-07-25__17:56:00.079856.png,0.22228684486756833,0.36006612 0.50904995,0.45366925 0.50543302,0.40739223 0.59850189,0.4038955 0.5715974,0.49566865 0.47508678,0.58948272 0.47141799,0.54626405 0.56515193,0.54415655 0.53889322
324,2023-07-25 17:55:50.644052,117.94812721377713,170.3108546372284,5,170.0,unregistered/uil__2023-07-25__17:55:50.644052.png,unregistered/uir__2023-07-25__17:55:50.644052.png,registered/ril__2023-07-25__17:55:50.644052.png,registered/rir__2023-07-25__17:55:50.644052.png,0.31085463722840245,0.33873618 0.49082601,0.46212134 0.49691525,0.39515822 0.61422053,0.39496154 0.57775998,0.52393436 0.45532522,0.64673311 0.46129748,0.58430043 0.57964653,0.58350205 0.54108763
317,2023-07-25 17:55:35.910187,133.0304707814944,170.38997454642274,5,170.0,unregistered/uil__2023-07-25__17:55:35.910187.png,unregistered/uir__2023-07-25__17:55:35.910187.png,registered/ril__2023-07-25__17:55:35.910187.png,registered/rir__2023-07-25__17:55:35.910187.png,0.3899745464227351,0.41724086 0.50526816,0.52325594 0.4876242,0.47610463 0.60236171,0.46965304 0.57108158,0.57928336 0.4701702,0.68671352 0.45267868,0.64253828 0.56874901,0.63772839 0.53702521
318,2023-07-25 17:55:36.941857,135.43284044501948,170.490382728523,5,170.0,unregistered/uil__2023-07-25__17:55:36.941857.png,unregistered/uir__2023-07-25__17:55:36.941857.png,registered/ril__2023-07-25__17:55:36.941857.png,registered/rir__2023-07-25__17:55:36.941857.png,0.49038272852300224,0.4316763 0.50507325,0.53594989 0.48648041,0.48988108 0.59919459,0.48395109 0.56877273,0.59015179 0.46956462,0.69620854 0.45186073,0.65466699 0.56425819,0.64956409 0.53224701
321,2023-07-25 17:55:41.955449,113.49197411925796,169.33816309159727,5,170.0,unregistered/uil__2023-07-25__17:55:41.955449.png,unregistered/uir__2023-07-25__17:55:41.955449.png,registered/ril__2023-07-25__17:55:41.955449.png,registered/rir__2023-07-25__17:55:41.955449.png,0.6618369084027336,0.38119781 0.50727665,0.50600314 0.50517106,0.44388217 0.63020104,0.44025013 0.59149688,0.57241112 0.47189283,0.69566524 0.46996418,0.6406303 0.59451121,0.63781095 0.55658603
315,2023-07-25 17:55:33.901600,138.3765067411497,170.9810623081114,5,170.0,unregistered/uil__2023-07-25__17:55:33.901600.png,unregistered/uir__2023-07-25__17:55:33.901600.png,registered/ril__2023-07-25__17:55:33.901600.png,registered/rir__2023-07-25__17:55:33.901600.png,0.9810623081114045,0.44262201 0.49340835,0.54714561 0.48815417,0.49455023 0.59553772,0.49026579 0.56214434,0.59906596 0.45719737,0.70438194 0.45339948,0.65554526 0.56149039,0.65067726 0.5278877
325,2023-07-25 17:55:51.821780,115.98018913033052,168.96012730077996,5,170.0,unregistered/uil__2023-07-25__17:55:51.821780.png,unregistered/uir__2023-07-25__17:55:51.821780.png,registered/ril__2023-07-25__17:55:51.821780.png,registered/rir__2023-07-25__17:55:51.821780.png,1.0398726992200409,0.34343904 0.51438481,0.46837655 0.50918669,0.40867145 0.63288909,0.40370369 0.5972501,0.52930784 0.47907487,0.65223593 0.47565794,0.60019329 0.59946921,0.59784728 0.56426448
311,2023-07-25 17:55:27.935678,127.25700350599992,168.79580935401114,5,170.0,unregistered/uil__2023-07-25__17:55:27.935678.png,unregistered/uir__2023-07-25__17:55:27.935678.png,registered/ril__2023-07-25__17:55:27.935678.png,registered/rir__2023-07-25__17:55:27.935678.png,1.2041906459888594,0.37361917 0.52649438,0.48525596 0.50348961,0.44151898 0.63108361,0.43483552 0.59896493,0.54405683 0.49277654,0.65625012 0.469163,0.61563212 0.59793717,0.61044025 0.5660491
312,2023-07-25 17:55:29.903589,130.47137707075075,171.28467768914615,5,170.0,unregistered/uil__2023-07-25__17:55:29.903589.png,unregistered/uir__2023-07-25__17:55:29.903589.png,registered/ril__2023-07-25__17:55:29.903589.png,registered/rir__2023-07-25__17:55:29.903589.png,1.2846776891461502,0.36274311 0.49177945,0.46911657 0.47827959,0.41307083 0.59369788,0.40850446 0.56121266,0.52719438 0.45732048,0.63657987 0.44293582,0.58481875 0.55997506,0.57869339 0.52718616
