,timestamp,GT_depth,CAL_height,person_id,GT_height,unreg_img_left,unreg_img_right,reg_img_left,reg_img_right,error,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
298,2023-07-25 16:58:10.815004,106.16987387312128,177.43795517706457,1,167.0,unregistered/uil__2023-07-25__16:58:10.815004.png,unregistered/uir__2023-07-25__16:58:10.815004.png,registered/ril__2023-07-25__16:58:10.815004.png,registered/rir__2023-07-25__16:58:10.815004.png,10.437955177064566,0.45471722 0.3709451,0.58789694 0.39731705,0.50929883 0.51310009,0.51068622 0.47450945,0.65884858 0.33624887,0.79015893 0.36140466,0.7167927 0.47911392,0.72270334 0.43986863
299,2023-07-25 16:58:11.804068,112.45212785177765,177.46580701633394,1,167.0,unregistered/uil__2023-07-25__16:58:11.804068.png,unregistered/uir__2023-07-25__16:58:11.804068.png,registered/ril__2023-07-25__16:58:11.804068.png,registered/rir__2023-07-25__16:58:11.804068.png,10.46580701633394,0.22179236 0.3857533,0.35468733 0.39745224,0.28448281 0.51642412,0.28361583 0.47994497,0.41765046 0.35216555,0.54453075 0.36282504,0.48034118 0.48256196,0.4829413 0.4477599
296,2023-07-25 16:58:08.818619,91.50150772055754,177.90346174044558,1,167.0,unregistered/uil__2023-07-25__16:58:08.818619.png,unregistered/uir__2023-07-25__16:58:08.818619.png,registered/ril__2023-07-25__16:58:08.818619.png,registered/rir__2023-07-25__16:58:08.818619.png,10.903461740445579,0.20184526 0.34626347,0.36090079 0.36075622,0.27330388 0.50185871,0.27291715 0.45596194,0.44126368 0.31075281,0.59303331 0.32437587,0.51702899 0.46706128,0.51909298 0.42351526
294,2023-07-25 16:58:06.794027,104.20375379617754,178.0492944292948,1,167.0,unregistered/uil__2023-07-25__16:58:06.794027.png,unregistered/uir__2023-07-25__16:58:06.794027.png,registered/ril__2023-07-25__16:58:06.794027.png,registered/rir__2023-07-25__16:58:06.794027.png,11.049294429294804,0.41244245 0.35958499,0.54684931 0.38478547,0.46619189 0.50497723,0.46574679 0.46347693,0.61969763 0.32510918,0.75272059 0.34903961,0.67840967 0.46926729,0.68227607 0.42901024
293,2023-07-25 16:58:05.806520,124.53148793526512,178.30318934361728,1,167.0,unregistered/uil__2023-07-25__16:58:05.806520.png,unregistered/uir__2023-07-25__16:58:05.806520.png,registered/ril__2023-07-25__16:58:05.806520.png,registered/rir__2023-07-25__16:58:05.806520.png,11.303189343617277,0.22030866 0.38841149,0.33911115 0.39935672,0.27637941 0.50898963,0.27461916 0.47641641,0.3958813 0.35514274,0.5114404 0.36478242,0.45333582 0.47610427,0.45489693 0.44151771
297,2023-07-25 16:58:09.821073,101.51141239692728,178.5082030517279,1,167.0,unregistered/uil__2023-07-25__16:58:09.821073.png,unregistered/uir__2023-07-25__16:58:09.821073.png,registered/ril__2023-07-25__16:58:09.821073.png,registered/rir__2023-07-25__16:58:09.821073.png,11.50820305172789,0.38819939 0.35030335,0.52746832 0.37164956,0.44815484 0.49291606,0.44933313 0.45207334,0.60066485 0.31509873,0.73819667 0.33445224,0.66722298 0.45772582,0.67074531 0.41634646
300,2023-07-25 16:58:13.916030,120.13781421533042,178.6953669222025,1,167.0,unregistered/uil__2023-07-25__16:58:13.916030.png,unregistered/uir__2023-07-25__16:58:13.916030.png,registered/ril__2023-07-25__16:58:13.916030.png,registered/rir__2023-07-25__16:58:13.916030.png,11.69536692220251,0.04372989 0.38305297,0.16799955 0.38479441,0.09919192 0.50229004,0.09404908 0.46670136,0.22243044 0.35080224,0.34621119 0.35059223,0.28278093 0.47019646,0.28222018 0.43353623
295,2023-07-25 16:58:07.796914,90.34702778258644,178.71041167778307,1,167.0,unregistered/uil__2023-07-25__16:58:07.796914.png,unregistered/uir__2023-07-25__16:58:07.796914.png,registered/ril__2023-07-25__16:58:07.796914.png,registered/rir__2023-07-25__16:58:07.796914.png,11.710411677783071,0.24658202 0.32806462,0.40192759 0.3462888,0.31378749 0.47724365,0.3125532 0.4300859,0.48535019 0.29638731,0.63657171 0.30871955,0.55959418 0.44197845,0.56152105 0.39503959
301,2023-07-25 16:58:18.521068,120.3873482647192,178.7153772889262,1,167.0,unregistered/uil__2023-07-25__16:58:18.521068.png,unregistered/uir__2023-07-25__16:58:18.521068.png,registered/ril__2023-07-25__16:58:18.521068.png,registered/rir__2023-07-25__16:58:18.521068.png,11.715377288926192,0.67198604 0.36953241,0.7859267 0.39837298,0.71830803 0.49675383,0.72085983 0.46188372,0.84989846 0.33440152,0.97616756 0.35873482,0.90210721 0.46112283,0.90229428 0.42580137
292,2023-07-25 16:58:04.808751,163.67510658004628,179.188685072216,1,167.0,unregistered/uil__2023-07-25__16:58:04.808751.png,unregistered/uir__2023-07-25__16:58:04.808751.png,registered/ril__2023-07-25__16:58:04.808751.png,registered/rir__2023-07-25__16:58:04.808751.png,12.188685072216003,0.45436263 0.40769541,0.54616475 0.42560264,0.49258576 0.50407094,0.49309745 0.47717482,0.5886305 0.37311581,0.67707169 0.39067993,0.6270557 0.46862021,0.6292544 0.44253594
