,timestamp,GT_depth,CAL_height,person_id,GT_height,unreg_img_left,unreg_img_right,reg_img_left,reg_img_right,error,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
68,2023-07-25 17:57:23.834936,135.82217720160318,176.22998538685755,6,176.0,unregistered/uil__2023-07-25__17:57:23.834936.png,unregistered/uir__2023-07-25__17:57:23.834936.png,registered/ril__2023-07-25__17:57:23.834936.png,registered/rir__2023-07-25__17:57:23.834936.png,0.22998538685754966,0.39975405 0.42492086,0.50880086 0.43296957,0.44940656 0.53400102,0.44808 0.49983469,0.55876356 0.39119437,0.66767055 0.39770621,0.6119155 0.49956191,0.61226159 0.46330374
75,2023-07-25 17:57:41.286473,95.05566723977589,176.70187314465858,6,176.0,unregistered/uil__2023-07-25__17:57:41.286473.png,unregistered/uir__2023-07-25__17:57:41.286473.png,registered/ril__2023-07-25__17:57:41.286473.png,registered/rir__2023-07-25__17:57:41.286473.png,0.7018731446585775,0.25203237 0.37791902,0.40419412 0.38195014,0.33035707 0.52803862,0.32715148 0.47829062,0.48146966 0.34098637,0.62909442 0.34531578,0.56193346 0.49419333,0.56378984 0.44558352
67,2023-07-25 17:57:22.841628,79.43616359981529,176.70875451353882,6,176.0,unregistered/uil__2023-07-25__17:57:22.841628.png,unregistered/uir__2023-07-25__17:57:22.841628.png,registered/ril__2023-07-25__17:57:22.841628.png,registered/rir__2023-07-25__17:57:22.841628.png,0.7087545135388211,0.23266274 0.34140691,0.40869325 0.36118111,0.30879886 0.52215412,0.30829972 0.46214664,0.50551939 0.30716926,0.67988259 0.32284227,0.58842787 0.48718987,0.59061569 0.42448083
65,2023-07-25 17:57:20.846035,147.049090254061,177.25868545237506,6,176.0,unregistered/uil__2023-07-25__17:57:20.846035.png,unregistered/uir__2023-07-25__17:57:20.846035.png,registered/ril__2023-07-25__17:57:20.846035.png,registered/rir__2023-07-25__17:57:20.846035.png,1.2586854523750617,0.29326957 0.42372009,0.39913917 0.42666653,0.34469382 0.52566627,0.34249446 0.49160203,0.44156241 0.38791326,0.54500753 0.38902172,0.495455 0.48942336,0.49454376 0.45434502
66,2023-07-25 17:57:21.848769,84.52404381530248,177.89326547837257,6,176.0,unregistered/uil__2023-07-25__17:57:21.848769.png,unregistered/uir__2023-07-25__17:57:21.848769.png,registered/ril__2023-07-25__17:57:21.848769.png,registered/rir__2023-07-25__17:57:21.848769.png,1.8932654783725695,0.35505888 0.33595848,0.51676369 0.34314764,0.42741719 0.50106275,0.4250702 0.4431681,0.6116817 0.30209294,0.77395374 0.30717126,0.68952873 0.46641538,0.69042492 0.4075436
74,2023-07-25 17:57:38.889366,154.39245298478298,178.22549132913068,6,176.0,unregistered/uil__2023-07-25__17:57:38.889366.png,unregistered/uir__2023-07-25__17:57:38.889366.png,registered/ril__2023-07-25__17:57:38.889366.png,registered/rir__2023-07-25__17:57:38.889366.png,2.2254913291306764,0.35844421 0.41857469,0.46016347 0.42146456,0.40592113 0.51828149,0.4042075 0.48299038,0.49881464 0.38546276,0.60000014 0.38717023,0.54892281 0.48394947,0.54902107 0.44956601
76,2023-07-25 17:57:42.458333,138.79544679481478,179.01993043664902,6,176.0,unregistered/uil__2023-07-25__17:57:42.458333.png,unregistered/uir__2023-07-25__17:57:42.458333.png,registered/ril__2023-07-25__17:57:42.458333.png,registered/rir__2023-07-25__17:57:42.458333.png,3.0199304366490196,0.43839723 0.39617357,0.54738307 0.40216818,0.48784961 0.50923839,0.48812628 0.46900532,0.59450012 0.36042333,0.70345986 0.36547804,0.64709735 0.4727606,0.64851528 0.43237907
73,2023-07-25 17:57:36.521127,156.5910714418868,179.2378632880846,6,176.0,unregistered/uil__2023-07-25__17:57:36.521127.png,unregistered/uir__2023-07-25__17:57:36.521127.png,registered/ril__2023-07-25__17:57:36.521127.png,registered/rir__2023-07-25__17:57:36.521127.png,3.237863288084611,0.67469478 0.40766287,0.76932949 0.41484675,0.71674043 0.50192353,0.71557099 0.47069696,0.81207705 0.37206787,0.90753573 0.37880498,0.85786998 0.46617612,0.8575809 0.4343656
62,2023-07-25 17:57:16.766473,162.98403915654487,179.38418965581042,6,176.0,unregistered/uil__2023-07-25__17:57:16.766473.png,unregistered/uir__2023-07-25__17:57:16.766473.png,registered/ril__2023-07-25__17:57:16.766473.png,registered/rir__2023-07-25__17:57:16.766473.png,3.3841896558104168,0.41151914 0.41516364,0.50609088 0.41341761,0.46058507 0.50899562,0.45674932 0.47712931,0.54495925 0.38037452,0.63951808 0.37758327,0.59561121 0.47490343,0.59377271 0.44227764
70,2023-07-25 17:57:29.049343,152.40960935124372,179.80449748834891,6,176.0,unregistered/uil__2023-07-25__17:57:29.049343.png,unregistered/uir__2023-07-25__17:57:29.049343.png,registered/ril__2023-07-25__17:57:29.049343.png,registered/rir__2023-07-25__17:57:29.049343.png,3.8044974883489147,0.46402791 0.39606452,0.56228155 0.40843529,0.50737885 0.49608354,0.50795442 0.46182266,0.60545301 0.36152321,0.70333195 0.37204424,0.65258521 0.46154377,0.65518934 0.42745355
64,2023-07-25 17:57:19.846522,157.12017335106026,179.830544797243,6,176.0,unregistered/uil__2023-07-25__17:57:19.846522.png,unregistered/uir__2023-07-25__17:57:19.846522.png,registered/ril__2023-07-25__17:57:19.846522.png,registered/rir__2023-07-25__17:57:19.846522.png,3.830544797242993,0.45259202 0.40217856,0.54873991 0.40915015,0.49743944 0.49756619,0.49558675 0.46553856,0.59014416 0.36846745,0.68672746 0.37336528,0.63756585 0.46355274,0.63752121 0.43197733
63,2023-07-25 17:57:17.779145,161.48850196492185,180.00090854143846,6,176.0,unregistered/uil__2023-07-25__17:57:17.779145.png,unregistered/uir__2023-07-25__17:57:17.779145.png,registered/ril__2023-07-25__17:57:17.779145.png,registered/rir__2023-07-25__17:57:17.779145.png,4.000908541438463,0.39453155 0.40529376,0.48982358 0.40914437,0.44030377 0.50437689,0.43750024 0.46809173,0.52811074 0.37080401,0.62324572 0.37409419,0.5779466 0.47023189,0.57590109 0.43482894
