,timestamp,GT_depth,CAL_height,person_id,GT_height,unreg_img_left,unreg_img_right,reg_img_left,reg_img_right,error,left_1,left_2,left_3,left_4,right_1,right_2,right_3,right_4
119,2023-07-25 16:55:36.171085,184.032892025547,181.97766472150354,0,182.0,unregistered/uil__2023-07-25__16:55:36.171085.png,unregistered/uir__2023-07-25__16:55:36.171085.png,registered/ril__2023-07-25__16:55:36.171085.png,registered/rir__2023-07-25__16:55:36.171085.png,0.022335278496456112,0.29913935 0.40672457,0.38599697 0.40252712,0.34741625 0.4979338,0.34753498 0.47114459,0.41865903 0.37308201,0.50371093 0.36897126,0.46786112 0.46435778,0.46767718 0.43533179
129,2023-07-25 16:55:53.795661,185.977489518261,181.97435349868704,0,182.0,unregistered/uil__2023-07-25__16:55:53.795661.png,unregistered/uir__2023-07-25__16:55:53.795661.png,registered/ril__2023-07-25__16:55:53.795661.png,registered/rir__2023-07-25__16:55:53.795661.png,0.025646501312962755,0.39526415 0.40821454,0.47750193 0.40360862,0.43421678 0.49672228,0.43260658 0.46672425,0.51092285 0.37426111,0.59297776 0.36964494,0.55306661 0.46390894,0.55289674 0.43368039
121,2023-07-25 16:55:38.525915,183.456795510232,182.02603829431584,0,182.0,unregistered/uil__2023-07-25__16:55:38.525915.png,unregistered/uir__2023-07-25__16:55:38.525915.png,registered/ril__2023-07-25__16:55:38.525915.png,registered/rir__2023-07-25__16:55:38.525915.png,0.02603829431583904,0.30268949 0.4061664,0.3879458 0.40149489,0.34940377 0.49727473,0.34911278 0.46837518,0.42122 0.37299821,0.50548488 0.36747566,0.47043592 0.46527994,0.47005317 0.43340269
143,2023-07-25 16:56:11.472808,189.633977062277,181.9696431950121,0,182.0,unregistered/uil__2023-07-25__16:56:11.472808.png,unregistered/uir__2023-07-25__16:56:11.472808.png,registered/ril__2023-07-25__16:56:11.472808.png,registered/rir__2023-07-25__16:56:11.472808.png,0.030356804987889063,0.52616227 0.4100022,0.60557067 0.40648803,0.56638804 0.49491487,0.566239 0.46570486,0.63882565 0.37534511,0.71938485 0.37193981,0.68300948 0.46107949,0.68437803 0.43112904
115,2023-07-25 16:55:31.469925,181.786514767512,181.9603607843578,0,182.0,unregistered/uil__2023-07-25__16:55:31.469925.png,unregistered/uir__2023-07-25__16:55:31.469925.png,registered/ril__2023-07-25__16:55:31.469925.png,registered/rir__2023-07-25__16:55:31.469925.png,0.039639215642210957,0.29476887 0.4059687,0.38104254 0.40061209,0.34237258 0.49658108,0.34186494 0.46845719,0.41444579 0.3724753,0.49974689 0.36692175,0.46437809 0.46405362,0.46369746 0.43333673
118,2023-07-25 16:55:34.999139,183.642896321433,182.05677030810295,0,182.0,unregistered/uil__2023-07-25__16:55:34.999139.png,unregistered/uir__2023-07-25__16:55:34.999139.png,registered/ril__2023-07-25__16:55:34.999139.png,registered/rir__2023-07-25__16:55:34.999139.png,0.056770308102954914,0.29888928 0.40561956,0.38419405 0.40175712,0.34568201 0.49617568,0.34592274 0.46933186,0.41748053 0.37268406,0.5019694 0.36790168,0.46647152 0.46372482,0.46661475 0.43378243
151,2023-07-25 16:56:22.116965,195.815215323496,182.0643474051767,0,182.0,unregistered/uil__2023-07-25__16:56:22.116965.png,unregistered/uir__2023-07-25__16:56:22.116965.png,registered/ril__2023-07-25__16:56:22.116965.png,registered/rir__2023-07-25__16:56:22.116965.png,0.06434740517670434,0.28953102 0.41425854,0.37025899 0.40806448,0.32785454 0.49922659,0.32577074 0.47002992,0.39957675 0.37978032,0.47924519 0.37496969,0.44145919 0.46752502,0.44005334 0.43856916
150,2023-07-25 16:56:19.751491,194.540929360929,182.07265613842495,0,182.0,unregistered/uil__2023-07-25__16:56:19.751491.png,unregistered/uir__2023-07-25__16:56:19.751491.png,registered/ril__2023-07-25__16:56:19.751491.png,registered/rir__2023-07-25__16:56:19.751491.png,0.07265613842494645,0.43544444 0.41253653,0.51575679 0.40816128,0.47735007 0.49944058,0.47700381 0.47082585,0.54536939 0.37860569,0.62766171 0.37330139,0.59081113 0.46626991,0.59218699 0.43722618
116,2023-07-25 16:55:32.661114,181.744185705049,182.0783434547069,0,182.0,unregistered/uil__2023-07-25__16:55:32.661114.png,unregistered/uir__2023-07-25__16:55:32.661114.png,registered/ril__2023-07-25__16:55:32.661114.png,registered/rir__2023-07-25__16:55:32.661114.png,0.07834345470689641,0.29165381 0.40443656,0.37896937 0.40003169,0.34070824 0.49703243,0.34040013 0.46761402,0.41162521 0.37196386,0.49801689 0.36702323,0.46299624 0.46462956,0.46189857 0.43225688
117,2023-07-25 16:55:33.817450,182.82862341969,182.11089029145714,0,182.0,unregistered/uil__2023-07-25__16:55:33.817450.png,unregistered/uir__2023-07-25__16:55:33.817450.png,registered/ril__2023-07-25__16:55:33.817450.png,registered/rir__2023-07-25__16:55:33.817450.png,0.1108902914571388,0.29503259 0.40492687,0.38180667 0.40043271,0.34334134 0.49661326,0.34320554 0.46965376,0.41404909 0.37152088,0.50072503 0.36689731,0.46420266 0.46344259,0.46430203 0.43410391
